127.0.0.1 - - [13/Jul/2018:08:48:16 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 14498
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/ace-datatable.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 293299
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/ace-jquery.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 760505
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:33 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=icefaces.ace HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:33 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/images/ui-default.png.xhtml?ln=icefaces.ace HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:34 -0500] "POST /BMSFRIJOL/include/contents/cargaArchivo.xhtml HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:43 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:59 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/include/contents/cargaArchivo.xhtml HTTP/1.1" 200 13092
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/combined.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=551623661 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/ace-jquery.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/ace-components.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/ace-datatable.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:14 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:15 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:19 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:19 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/images/ui-default.png.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:20 -0500] "POST /BMSFRIJOL/include/contents/cargaArchivo.xhtml HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:32 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:50:48 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:51:04 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:51:20 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:51:36 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:51:52 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:52:08 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:52:24 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:52:40 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:52:56 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:53:12 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:53:28 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:53:44 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:54:00 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:54:16 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:54:32 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:54:48 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:55:04 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:55:20 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:55:36 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:55:52 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:56:08 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:56:24 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:56:40 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:56:56 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:57:12 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:57:28 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:57:44 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:58:00 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:58:16 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:58:32 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:58:48 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:59:04 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:59:20 -0500] "POST /BMSFRIJOL/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
